L 9356 AP;Vendor;Jenis Kendaraan;Type;Nopol;Sparepart;Jasa; PPN ; Total Biaya ;Keterangan;Biaya Sebelum PPN;PPN Rate;Sparepart %;Jasa %
Juni;PT.  UNITED MOTORS CENTRE;Ambulance;GC415;L 1150 CP;1321623;1089000; Rp265.169 ; Rp2.675.792 ;Rusak Ringan;2410623;0,11;0,493918523;0,406982378
Juni;PT.  UNITED MOTORS CENTRE;Ambulance;GC415;L 1151 CP;359010;0; Rp39.491 ; Rp398.501 ;Rusak Ringan;359010;0,11;0,900900901;0
Juni;PT.  UNITED MOTORS CENTRE;Ambulance;GC415;L 1309 BP;2809279;3800540; Rp727.080 ; Rp7.336.899 ;Rusak Sedang;6609819;0,11;0,38289732;0,518003581
Juni;PT.  UNITED MOTORS CENTRE;Mini Bus;GC415;L 1905 BP;7570450;1728455; Rp1.022.880 ; Rp10.321.785 ;Rusak berat;9298905;0,11;0,733443908;0,167456993
Juni;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 1907 FP;3732681;2524500; Rp688.289 ; Rp6.945.470 ;Rusak Sedang;6257181;0,11;0,537426697;0,363474322
Juni;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 0009 AP;2338987;1762500; Rp451.164 ; Rp4.552.651 ;Rusak Sedang;4101487;0,11;0,513763739;0,387137077
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Mini bus;TBR541;L 1658 FP;953244;1015000; Rp216.507 ; Rp2.184.751 ;Rusak Ringan;1968244;0,11;0,436316999;0,464583836
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Pick Up;TBR54;L 9353 AP;1251734;672000; Rp211.611 ; Rp2.135.345 ;Rusak Ringan;1923734;0,11;0,586197547;0,314703245
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Pick Up;TBR54;L 9345 AP;1582253;777000; Rp259.518 ; Rp2.618.771 ;Rusak Ringan;2359253;0,11;0,604196778;0,296704065
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Mini bus;TBR541;L 1351 CP;1049482;1722000; Rp304.863 ; Rp3.076.345 ;Rusak Ringan;2771482;0,11;0,341145743;0,559755164
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Pick Up;TBR54;L 9340 AP;3105428;2671666; Rp635.484 ; Rp6.412.578 ;Rusak Sedang;5777094;0,11;0,48427138;0,416629006
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Pick Up;TBR54;L 8867 CP;6036637;3175666; Rp1.013.355 ; Rp10.225.658 ;Rusak Berat;9212303;0,11;0,590342157;0,310558597
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Pick Up;TBR54;L 8883 CP;10553087;5755166; Rp1.793.912 ; Rp18.102.165 ;Rusak Berat;16308253;0,11;0,582973749;0,317926944
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR541;L 1350 CP;7795281;719600; Rp936.637 ; Rp9.451.518 ;Rusak Berat;8514881;0,11;0,824764974;0,076135918
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR541;L 1779 GP;10981789;5177630; Rp1.777.536 ; Rp17.936.955 ;Rusak Berat;16159419;0,11;0,612243773;0,288657133
Juli;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Micro Bus;Hi ace;L 1571 FP;2775532;2296000; Rp557.869 ; Rp5.629.401 ;;5071532;0,11;0,493042155;0,407858669
Juli;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Micro Bus;Hi ace;L 1594 FP;3025024;2412500; Rp598.127 ; Rp6.035.651 ;Rusak Sedang;5437524;0,11;0,501192663;0,399708333
Juli;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR541;L 1825 FP;4802420;1134000; Rp653.006 ; Rp6.589.426 ;Rusak Sedang;5936420;0,11;0,728807031;0,172093897
Juli;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR54;L 9343 AP;5310186;1113000; Rp706.550 ; Rp7.129.736 ;Rusak Sedang;6423186;0,11;0,744794197;0,156106762
Juli;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR541;L 1984 EP;4726091;1092000; Rp639.990 ; Rp6.458.081 ;Rusak Sedang;5818091;0,11;0,731810425;0,169090477
Juli;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR541;L 1817 FP;5104775;2513297; Rp837.988 ; Rp8.456.060 ;Rusak Sedang;7618072;0,11;0,603682448;0,297218445
Juli;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR54;L 9352 AP;5617368;1981367; Rp835.861 ; Rp8.434.596 ;Rusak Sedang;7598735;0,11;0,665991353;0,234909532
Juli;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Micro Bus;Other I;L 1990 CP;3129010;927881; Rp446.258 ; Rp4.503.149 ;Rusak Sedang;4056891;0,11;0,694849315;0,206051587
